currentdate,currenttime,temperature_kettle,temperature_mash,temperature_amb,weight,heater
2020-04-23,01:00:57,54.41,218.6,222.3,10.67,1
2020-04-23,01:01:57,55.17,222.1,99.6,10.67,0
2020-04-23,01:02:57,55.5,217.9,100.7,10.73,0
2020-04-23,01:03:57,55.54,221.8,104.2,10.73,0
2020-04-23,01:04:57,55.19,221.1,114,10.72,0
2020-04-23,01:05:57,54.59,221.1,-110.2,10.69,1
2020-04-23,01:06:57,55.61,221.3,106.7,10.67,0
2020-04-23,01:07:57,55.73,217.9,94,10.73,0
2020-04-23,01:08:57,56.02,219.7,91.4,10.75,0
2020-04-23,01:09:57,55.23,218.2,82.6,10.74,0
2020-04-23,01:10:57,55.8,220.6,83.3,10.73,0
2020-04-23,01:11:57,55.94,221.6,127.8,10.73,0
2020-04-23,01:12:57,55.27,220.2,88.7,10.71,0
2020-04-23,01:13:57,55.06,222,98.5,10.69,0
2020-04-23,01:14:57,54.91,220.6,-106.3,10.64,1
2020-04-23,01:15:57,55.15,218.3,132.4,10.63,0
2020-04-23,01:16:57,55.76,221.8,142.1,10.69,0
2020-04-23,01:17:57,55.29,221.4,115.3,10.69,0
2020-04-23,01:18:57,55.88,220,97.7,10.69,0
2020-04-23,01:19:57,55.59,219.6,88.9,10.68,0
2020-04-23,01:20:57,54.95,220.3,209.2,10.65,1
2020-04-23,01:21:57,55.23,222,102.5,10.62,0
2020-04-23,01:22:57,56.23,220,136.4,10.69,0
2020-04-23,01:23:57,55.7,221.7,114.6,10.69,0
2020-04-23,01:24:57,56.57,221.4,129.4,10.69,0
2020-04-23,01:25:57,55.5,219.1,109.9,10.68,0
2020-04-23,01:26:57,54.71,221.9,14.8,10.64,1
2020-04-23,01:27:57,54.54,221.3,-202.6,10.57,1
2020-04-23,01:28:57,56.63,217.7,64.9,10.62,0
2020-04-23,01:29:57,57.77,218.6,77.9,10.69,0
2020-04-23,01:30:57,58.39,221.9,142.1,10.72,0
2020-04-23,01:31:57,58.02,219.1,98,10.72,0
2020-04-23,01:32:57,58.66,221.7,109.4,10.71,0
2020-04-23,01:33:57,57.99,220,38.3,10.69,0
2020-04-23,01:34:57,57.02,219.7,42.3,10.68,0
2020-04-23,01:35:57,57.41,218.2,98.9,10.67,0
2020-04-23,01:36:57,57.58,221.9,147,10.66,0
2020-04-23,01:37:57,56.86,221,76.3,10.63,0
2020-04-23,01:38:57,56.43,219.9,43.2,10.61,0
2020-04-23,01:39:57,55.85,218.3,109.4,10.59,0
2020-04-23,01:40:57,55.58,221,100,10.58,0
2020-04-23,01:41:57,55.61,220,108.6,10.57,0
2020-04-23,01:42:57,55.36,219.2,70,10.55,0
2020-04-23,01:43:57,53.45,219.3,62.2,10.51,1
2020-04-23,01:44:57,54.61,221.1,10.2,10.45,1
2020-04-23,01:45:57,55.31,221.2,48,10.47,0
2020-04-23,01:46:57,56.83,218.7,97.4,10.55,0
2020-04-23,01:47:57,57.21,222.2,137.1,10.58,0
2020-04-23,01:48:57,57.53,219.2,88.5,10.59,0
2020-04-23,01:49:57,57.1,220.3,28.9,10.58,0
2020-04-23,01:50:57,56.34,221,17.1,10.57,0
2020-04-23,01:51:57,55.98,219.5,30,10.56,0
2020-04-23,01:52:57,55.8,218.8,97.7,10.55,0
2020-04-23,01:53:57,55.51,221.2,50.7,10.54,0
2020-04-23,01:54:57,55.46,221,100.1,10.53,0
2020-04-23,01:55:57,55.11,220.6,155.8,10.51,0
2020-04-23,01:56:57,54.3,220.9,217.4,10.48,1
2020-04-23,01:57:57,54.61,222.1,-107.8,10.41,1
2020-04-23,01:58:57,55.84,221.4,76.9,10.44,0
2020-04-23,01:59:57,56.85,222.4,98.3,10.52,0
2020-04-23,02:00:57,57.46,220.5,131.3,10.54,0
2020-04-23,02:01:57,57.43,221.4,126,10.55,0
2020-04-23,02:02:57,56.42,220.7,153.7,10.54,0
2020-04-23,02:03:57,57.69,220.9,95.5,10.53,0
2020-04-23,02:04:57,56.02,220.8,22.8,10.52,0
2020-04-23,02:05:57,56.12,219.9,125.1,10.5,0
2020-04-23,02:06:57,55.13,220.8,161.2,10.49,0
2020-04-23,02:07:57,55.21,219.3,127.5,10.47,0
2020-04-23,02:08:57,55.14,219.1,95.6,10.46,0
2020-04-23,02:09:57,54.13,218.9,67.6,10.43,1
2020-04-23,02:10:57,54.24,221.2,217.8,10.35,1
2020-04-23,02:11:57,56.7,218.8,72.4,10.36,0
2020-04-23,02:12:57,57.91,218.8,83.9,10.45,0
2020-04-23,02:13:57,57.79,218.8,92.3,10.48,0
2020-04-23,02:14:57,57.86,218.2,129.7,10.48,0
2020-04-23,02:15:57,57.5,221.8,98.5,10.48,0
2020-04-23,02:16:57,57.05,221.8,28.6,10.46,0
2020-04-23,02:17:57,56.46,221.5,6.2,10.45,0
2020-04-23,02:18:57,56.7,221.9,87.8,10.43,0
2020-04-23,02:19:57,56.4,220.5,92.4,10.43,0
2020-04-23,02:20:57,55.67,218.6,26.7,10.41,0
2020-04-23,02:21:57,55.21,221.6,6.3,10.39,0
2020-04-23,02:22:57,55.26,217.9,132.9,10.37,0
2020-04-23,02:23:57,54.55,217,199.2,10.36,1
2020-04-23,02:24:57,55.44,219.7,22,10.29,0
2020-04-23,02:25:57,56.19,218.6,99.2,10.35,0
2020-04-23,02:26:57,55.85,221.2,-5.4,10.37,0
2020-04-23,02:27:57,55.29,219.5,19.4,10.36,0
2020-04-23,02:28:57,55.36,219.8,109.5,10.36,0
2020-04-23,02:29:57,55.03,220.8,29.3,10.35,0
2020-04-23,02:30:57,55.02,219.2,90.5,10.34,0
2020-04-23,02:31:57,54.29,218,140.1,10.31,1
2020-04-23,02:32:57,53.91,221.6,222.4,10.23,1
2020-04-23,02:33:57,55.65,217.8,54.7,10.24,0
2020-04-23,02:34:57,57.7,220.2,78.9,10.34,0
2020-04-23,02:35:57,57.56,220.7,122.9,10.37,0
2020-04-23,02:36:57,57.23,220.5,111.8,10.38,0
2020-04-23,02:37:57,56.8,219.7,6,10.38,0
2020-04-23,02:38:57,57.02,221.4,105.1,10.36,0
2020-04-23,02:39:57,56.9,221.2,98.4,10.36,0
2020-04-23,02:40:57,55.77,220.3,159,10.33,0
2020-04-23,02:41:57,55.76,218.6,104,10.32,0
2020-04-23,02:42:57,55.9,222.3,129.3,10.31,0
2020-04-23,02:43:57,54.88,219.2,201.5,10.28,1
2020-04-23,02:44:57,56.01,222.1,43.8,10.2,0
2020-04-23,02:45:57,56.58,220.5,87.1,10.27,0
2020-04-23,02:46:57,56.51,220.1,92.8,10.29,0
2020-04-23,02:47:57,55.74,221,9.9,10.29,0
2020-04-23,02:48:57,54.65,219,201.6,10.26,1
2020-04-23,02:49:57,55.22,221.9,124.9,10.19,0
2020-04-23,02:50:57,57.15,220.6,141,10.26,0
2020-04-23,02:51:57,57.08,220.1,133.4,10.28,0
