currentdate,currenttime,temperature_kettle,temperature_mash,temperature_amb,weight,heater
2020-04-23,10:00:59,52.55,218.4,145.1,14.71,0
2020-04-23,10:01:59,52.02,220.6,122.4,14.7,0
2020-04-23,10:02:59,52,218.2,144.6,14.69,0
2020-04-23,10:03:59,51.94,220.9,167.8,14.69,0
2020-04-23,10:04:59,52.17,221.4,158.3,14.67,0
2020-04-23,10:05:59,50.93,221.2,136.8,14.65,0
2020-04-23,10:06:59,51.38,220,135.1,14.64,0
2020-04-23,10:07:59,51.22,220.5,171.9,14.64,0
2020-04-23,10:08:59,51.01,221,140.6,14.63,0
2020-04-23,10:09:59,49.63,219.7,197.3,14.63,1
2020-04-23,10:10:59,49.98,220,-203.2,14.58,1
2020-04-23,10:11:59,51.84,219.3,112.1,14.53,0
2020-04-23,10:12:59,52.7,221.4,137.4,14.57,0
2020-04-23,10:13:59,52.86,218.3,127,14.59,0
2020-04-23,10:14:59,52.99,221.2,156.1,14.6,0
2020-04-23,10:15:59,52.64,221.6,174.4,14.6,0
2020-04-23,10:16:59,52.91,219.2,142.7,14.6,0
2020-04-23,10:17:59,52.2,219.2,140.3,14.59,0
2020-04-23,10:18:59,52.1,221.3,167.5,14.59,0
2020-04-23,10:19:59,52.94,220.5,167.1,14.58,0
2020-04-23,10:20:59,52.38,222.3,152.1,14.57,0
2020-04-23,10:21:59,52.22,219.3,163.2,14.56,0
2020-04-23,10:22:59,51.98,221.3,163.7,14.56,0
2020-04-23,10:23:59,51.67,220.8,151.1,14.55,0
2020-04-23,10:24:59,51.64,220.3,163.7,14.55,0
2020-04-23,10:25:59,51.09,221.6,163.3,14.53,0
2020-04-23,10:26:59,50.66,220.7,130.4,14.52,0
2020-04-23,10:27:59,51.11,219.8,142.5,14.52,0
2020-04-23,10:28:59,51.28,222.2,163.4,14.52,0
2020-04-23,10:29:59,50.2,219.3,126.9,14.5,0
2020-04-23,10:30:59,50.59,220.1,140.9,14.5,0
2020-04-23,10:31:59,50.27,222.2,164.8,14.49,0
